"City","Name","Category","Admission","Rating"
"Laredo","Liberty Monument of Laredo #69","Theme Park","$27.22","4.8"
"Lubbock","Frontier Preserve of Lubbock #70","Landmark","$5.05","4.8"
"Garland","Grand Hall of Garland #71","Nature","$49.96","4.5"
"Irving","Heritage Center of Irving #72","Museum","$10.52","4.0"
"Amarillo","Victory Plaza of Amarillo #73","Park","$17.95","4.2"
"Grand Prairie","Discovery Gardens of Grand Prairie #74","Historical Site","$11.96","4.3"
"Brownsville","Liberty Monument of Brownsville #75","Theme Park","$7.20","4.8"
"McKinney","Frontier Preserve of McKinney #76","Landmark","$15.24","4.7"
"Frisco","Grand Hall of Frisco #77","Nature","$15.78","4.1"
"Pasadena","Heritage Center of Pasadena #78","Museum","$33.17","4.7"
"Mesquite","Victory Plaza of Mesquite #79","Park","$0.30","4.6"
"Austin","Discovery Gardens of Austin #80","Historical Site","$45.65","4.8"
"Houston","Liberty Monument of Houston #81","Theme Park","$3.04","4.0"
"Dallas","Frontier Preserve of Dallas #82","Landmark","$31.71","5.0"
"San Antonio","Grand Hall of San Antonio #83","Nature","$16.96","4.6"
"Fort Worth","Heritage Center of Fort Worth #84","Museum","$24.97","4.3"
"El Paso","Victory Plaza of El Paso #85","Park","$2.79","5.0"
"Arlington","Discovery Gardens of Arlington #86","Historical Site","$38.56","4.1"
"Corpus Christi","Liberty Monument of Corpus Christi #87","Theme Park","$20.77","4.0"
"Plano","Frontier Preserve of Plano #88","Landmark","$42.50","4.2"
"Laredo","Grand Hall of Laredo #89","Nature","$11.04","4.4"
"Lubbock","Heritage Center of Lubbock #90","Museum","$16.01","4.3"
"Garland","Victory Plaza of Garland #91","Park","$0.49","4.8"
"Irving","Discovery Gardens of Irving #92","Historical Site","$49.94","4.9"
"Amarillo","Liberty Monument of Amarillo #93","Theme Park","$13.44","4.8"
"Grand Prairie","Frontier Preserve of Grand Prairie #94","Landmark","$14.41","4.2"
"Brownsville","Grand Hall of Brownsville #95","Nature","$6.93","4.1"
"McKinney","Heritage Center of McKinney #96","Museum","$29.09","4.6"
"Frisco","Victory Plaza of Frisco #97","Park","$1.41","4.7"
"Pasadena","Discovery Gardens of Pasadena #98","Historical Site","$13.41","4.3"
"Mesquite","Liberty Monument of Mesquite #99","Theme Park","$49.24","4.7"
"Austin","Frontier Preserve of Austin #100","Landmark","$39.72","4.9"
"Houston","Grand Hall of Houston #101","Nature","$19.75","4.5"
"Dallas","Heritage Center of Dallas #102","Museum","$48.06","4.4"
"San Antonio","Victory Plaza of San Antonio #103","Park","$7.06","4.4"
"Fort Worth","Discovery Gardens of Fort Worth #104","Historical Site","$31.46","4.7"
"El Paso","Liberty Monument of El Paso #105","Theme Park","$39.65","4.4"
"Arlington","Frontier Preserve of Arlington #106","Landmark","$20.36","4.4"
"Corpus Christi","Grand Hall of Corpus Christi #107","Nature","$23.25","4.0"
"Plano","Heritage Center of Plano #108","Museum","$25.47","4.1"
"Laredo","Victory Plaza of Laredo #109","Park","$40.52","4.0"
"Lubbock","Discovery Gardens of Lubbock #110","Historical Site","$22.22","4.5"
"Garland","Liberty Monument of Garland #111","Theme Park","$21.64","5.0"
"Irving","Frontier Preserve of Irving #112","Landmark","$12.78","5.0"
"Amarillo","Grand Hall of Amarillo #113","Nature","$1.79","4.4"
"Grand Prairie","Heritage Center of Grand Prairie #114","Museum","$37.73","4.9"
"Brownsville","Victory Plaza of Brownsville #115","Park","$12.30","4.3"
"McKinney","Discovery Gardens of McKinney #116","Historical Site","$40.48","4.5"
"Frisco","Liberty Monument of Frisco #117","Theme Park","$8.11","4.3"
"Pasadena","Frontier Preserve of Pasadena #118","Landmark","$30.04","4.3"
"Mesquite","Grand Hall of Mesquite #119","Nature","$43.65","4.4"
"Austin","Heritage Center of Austin #120","Museum","$17.07","4.3"
"Houston","Victory Plaza of Houston #121","Park","$5.47","4.9"
"Dallas","Discovery Gardens of Dallas #122","Historical Site","$15.26","4.6"
"San Antonio","Liberty Monument of San Antonio #123","Theme Park","$48.60","4.2"
"Fort Worth","Frontier Preserve of Fort Worth #124","Landmark","$35.41","4.3"
"El Paso","Grand Hall of El Paso #125","Nature","$44.35","4.8"
"Arlington","Heritage Center of Arlington #126","Museum","$19.53","4.1"
"Corpus Christi","Victory Plaza of Corpus Christi #127","Park","$30.61","4.5"
"Plano","Discovery Gardens of Plano #128","Historical Site","$43.65","4.1"
"Laredo","Liberty Monument of Laredo #129","Theme Park","$38.93","4.4"
"Lubbock","Frontier Preserve of Lubbock #130","Landmark","$44.27","4.8"
"Garland","Grand Hall of Garland #131","Nature","$39.67","4.4"
"Irving","Heritage Center of Irving #132","Museum","$10.35","4.7"
"Amarillo","Victory Plaza of Amarillo #133","Park","$43.16","4.1"
"Grand Prairie","Discovery Gardens of Grand Prairie #134","Historical Site","$3.80","4.2"
"Brownsville","Liberty Monument of Brownsville #135","Theme Park","$48.56","4.7"
"McKinney","Frontier Preserve of McKinney #136","Landmark","$6.74","4.9"
"Frisco","Grand Hall of Frisco #137","Nature","$24.32","4.2"
"Pasadena","Heritage Center of Pasadena #138","Museum","$4.76","4.7"
"Mesquite","Victory Plaza of Mesquite #139","Park","$7.05","5.0"
"Austin","Discovery Gardens of Austin #140","Historical Site","$26.58","4.8"
"Houston","Liberty Monument of Houston #141","Theme Park","$6.42","4.1"
"Dallas","Frontier Preserve of Dallas #142","Landmark","$8.66","4.3"
"San Antonio","Grand Hall of San Antonio #143","Nature","$33.33","4.2"
"Fort Worth","Heritage Center of Fort Worth #144","Museum","$32.44","4.3"
"El Paso","Victory Plaza of El Paso #145","Park","$2.28","4.1"
"Arlington","Discovery Gardens of Arlington #146","Historical Site","$14.96","4.3"
"Corpus Christi","Liberty Monument of Corpus Christi #147","Theme Park","$13.66","4.8"
"Plano","Frontier Preserve of Plano #148","Landmark","$1.47","4.0"
"Laredo","Grand Hall of Laredo #149","Nature","$14.56","4.4"
"Lubbock","Heritage Center of Lubbock #150","Museum","$46.27","4.8"
"Garland","Victory Plaza of Garland #151","Park","$16.03","4.7"
"Irving","Discovery Gardens of Irving #152","Historical Site","$36.78","4.6"
"Amarillo","Liberty Monument of Amarillo #153","Theme Park","$41.25","4.9"
"Grand Prairie","Frontier Preserve of Grand Prairie #154","Landmark","$8.54","4.3"
"Brownsville","Grand Hall of Brownsville #155","Nature","$26.78","4.5"
"McKinney","Heritage Center of McKinney #156","Museum","$28.33","4.2"
"Frisco","Victory Plaza of Frisco #157","Park","$9.25","4.4"
"Pasadena","Discovery Gardens of Pasadena #158","Historical Site","$34.18","4.3"
"Mesquite","Liberty Monument of Mesquite #159","Theme Park","$47.12","5.0"
"Austin","Frontier Preserve of Austin #160","Landmark","$19.40","4.6"
"Houston","Grand Hall of Houston #161","Nature","$28.18","4.4"
"Dallas","Heritage Center of Dallas #162","Museum","$24.47","4.5"
"San Antonio","Victory Plaza of San Antonio #163","Park","$0.62","4.4"
"Fort Worth","Discovery Gardens of Fort Worth #164","Historical Site","$3.23","4.8"
"El Paso","Liberty Monument of El Paso #165","Theme Park","$15.44","4.3"
"Arlington","Frontier Preserve of Arlington #166","Landmark","$34.57","4.6"
"Corpus Christi","Grand Hall of Corpus Christi #167","Nature","$7.62","4.5"
"Plano","Heritage Center of Plano #168","Museum","$41.19","4.0"
"Laredo","Victory Plaza of Laredo #169","Park","$0.98","4.3"
"Lubbock","Discovery Gardens of Lubbock #170","Historical Site","$8.05","4.8"
"Garland","Liberty Monument of Garland #171","Theme Park","$37.09","4.1"
"Irving","Frontier Preserve of Irving #172","Landmark","$2.35","4.7"
"Amarillo","Grand Hall of Amarillo #173","Nature","$26.37","5.0"
"Grand Prairie","Heritage Center of Grand Prairie #174","Museum","$11.10","4.6"
"Brownsville","Victory Plaza of Brownsville #175","Park","$30.09","4.1"
"McKinney","Discovery Gardens of McKinney #176","Historical Site","$42.35","4.9"
"Frisco","Liberty Monument of Frisco #177","Theme Park","$2.40","4.3"
"Pasadena","Frontier Preserve of Pasadena #178","Landmark","$8.32","4.3"
"Mesquite","Grand Hall of Mesquite #179","Nature","$38.30","4.6"
"Austin","Heritage Center of Austin #180","Museum","$9.57","4.9"
"Houston","Victory Plaza of Houston #181","Park","$47.15","4.4"
"Dallas","Discovery Gardens of Dallas #182","Historical Site","$46.59","4.6"
"San Antonio","Liberty Monument of San Antonio #183","Theme Park","$35.45","4.9"
"Fort Worth","Frontier Preserve of Fort Worth #184","Landmark","$3.22","4.3"
"El Paso","Grand Hall of El Paso #185","Nature","$23.07","4.2"
"Arlington","Heritage Center of Arlington #186","Museum","$3.20","4.2"
"Corpus Christi","Victory Plaza of Corpus Christi #187","Park","$8.74","4.6"
"Plano","Discovery Gardens of Plano #188","Historical Site","$43.74","4.9"
"Laredo","Liberty Monument of Laredo #189","Theme Park","$24.47","4.0"
"Lubbock","Frontier Preserve of Lubbock #190","Landmark","$37.08","4.4"
"Garland","Grand Hall of Garland #191","Nature","$30.99","4.1"
"Irving","Heritage Center of Irving #192","Museum","$33.40","4.1"
"Amarillo","Victory Plaza of Amarillo #193","Park","$25.68","4.7"
"Grand Prairie","Discovery Gardens of Grand Prairie #194","Historical Site","$28.70","4.6"
"Brownsville","Liberty Monument of Brownsville #195","Theme Park","$44.35","4.3"
"McKinney","Frontier Preserve of McKinney #196","Landmark","$45.37","4.9"
"Frisco","Grand Hall of Frisco #197","Nature","$12.54","4.7"
"Pasadena","Heritage Center of Pasadena #198","Museum","$7.66","4.3"
"Mesquite","Victory Plaza of Mesquite #199","Park","$5.20","4.7"
"Austin","Discovery Gardens of Austin #200","Historical Site","$30.16","4.7"
"Houston","Liberty Monument of Houston #201","Theme Park","$48.99","4.1"
"Dallas","Frontier Preserve of Dallas #202","Landmark","$1.36","4.9"
"San Antonio","Grand Hall of San Antonio #203","Nature","$39.48","4.7"
"Fort Worth","Heritage Center of Fort Worth #204","Museum","$37.98","4.7"
"El Paso","Victory Plaza of El Paso #205","Park","$23.91","4.8"
"Arlington","Discovery Gardens of Arlington #206","Historical Site","$26.10","4.6"
"Corpus Christi","Liberty Monument of Corpus Christi #207","Theme Park","$17.56","4.8"
"Plano","Frontier Preserve of Plano #208","Landmark","$16.25","4.9"
"Laredo","Grand Hall of Laredo #209","Nature","$12.49","4.2"
"Lubbock","Heritage Center of Lubbock #210","Museum","$20.12","4.5"
"Garland","Victory Plaza of Garland #211","Park","$3.07","4.3"
"Irving","Discovery Gardens of Irving #212","Historical Site","$34.49","4.1"
"Amarillo","Liberty Monument of Amarillo #213","Theme Park","$23.41","4.4"
"Grand Prairie","Frontier Preserve of Grand Prairie #214","Landmark","$28.79","4.4"
"Brownsville","Grand Hall of Brownsville #215","Nature","$29.73","4.4"
"McKinney","Heritage Center of McKinney #216","Museum","$24.25","4.1"
"Frisco","Victory Plaza of Frisco #217","Park","$7.45","4.7"
"Pasadena","Discovery Gardens of Pasadena #218","Historical Site","$25.06","4.3"
"Mesquite","Liberty Monument of Mesquite #219","Theme Park","$1.66","4.9"
"Austin","Frontier Preserve of Austin #220","Landmark","$21.51","4.8"
"Houston","Grand Hall of Houston #221","Nature","$26.74","4.1"
"Dallas","Heritage Center of Dallas #222","Museum","$39.26","4.9"
"San Antonio","Victory Plaza of San Antonio #223","Park","$47.47","4.4"
"Fort Worth","Discovery Gardens of Fort Worth #224","Historical Site","$38.87","4.3"
"El Paso","Liberty Monument of El Paso #225","Theme Park","$44.89","4.1"
"Arlington","Frontier Preserve of Arlington #226","Landmark","$24.50","4.0"
"Corpus Christi","Grand Hall of Corpus Christi #227","Nature","$27.73","4.4"
"Plano","Heritage Center of Plano #228","Museum","$28.83","4.2"
"Laredo","Victory Plaza of Laredo #229","Park","$14.42","4.5"
"Lubbock","Discovery Gardens of Lubbock #230","Historical Site","$14.20","4.1"
"Garland","Liberty Monument of Garland #231","Theme Park","$25.81","4.2"
"Irving","Frontier Preserve of Irving #232","Landmark","$43.34","4.7"
"Amarillo","Grand Hall of Amarillo #233","Nature","$30.69","4.8"
"Grand Prairie","Heritage Center of Grand Prairie #234","Museum","$46.44","4.9"
"Brownsville","Victory Plaza of Brownsville #235","Park","$44.29","4.4"
"McKinney","Discovery Gardens of McKinney #236","Historical Site","$45.66","4.4"
"Frisco","Liberty Monument of Frisco #237","Theme Park","$27.17","4.2"
"Pasadena","Frontier Preserve of Pasadena #238","Landmark","$40.96","4.5"
"Mesquite","Grand Hall of Mesquite #239","Nature","$29.90","4.3"
"Austin","Heritage Center of Austin #240","Museum","$42.44","4.5"
"Houston","Victory Plaza of Houston #241","Park","$9.34","4.4"
"Dallas","Discovery Gardens of Dallas #242","Historical Site","$10.84","4.2"
"San Antonio","Liberty Monument of San Antonio #243","Theme Park","$42.62","4.5"
"Fort Worth","Frontier Preserve of Fort Worth #244","Landmark","$23.89","4.6"
"El Paso","Grand Hall of El Paso #245","Nature","$40.90","4.9"
"Arlington","Heritage Center of Arlington #246","Museum","$15.06","4.5"
"Corpus Christi","Victory Plaza of Corpus Christi #247","Park","$23.95","4.1"
"Plano","Discovery Gardens of Plano #248","Historical Site","$12.57","5.0"
"Laredo","Liberty Monument of Laredo #249","Theme Park","$49.71","4.0"
"Lubbock","Frontier Preserve of Lubbock #250","Landmark","$9.57","4.0"
"Garland","Grand Hall of Garland #251","Nature","$5.24","4.1"
"Irving","Heritage Center of Irving #252","Museum","$44.19","5.0"
"Amarillo","Victory Plaza of Amarillo #253","Park","$45.23","4.9"
"Grand Prairie","Discovery Gardens of Grand Prairie #254","Historical Site","$4.11","4.3"
"Brownsville","Liberty Monument of Brownsville #255","Theme Park","$0.86","4.5"
"McKinney","Frontier Preserve of McKinney #256","Landmark","$20.38","4.3"
"Frisco","Grand Hall of Frisco #257","Nature","$35.74","4.7"
"Pasadena","Heritage Center of Pasadena #258","Museum","$30.05","4.4"
"Mesquite","Victory Plaza of Mesquite #259","Park","$46.69","4.4"
"Austin","Discovery Gardens of Austin #260","Historical Site","$3.99","4.5"
"Houston","Liberty Monument of Houston #261","Theme Park","$33.92","4.5"
"Dallas","Frontier Preserve of Dallas #262","Landmark","$20.30","4.8"
"San Antonio","Grand Hall of San Antonio #263","Nature","$12.19","4.1"
"Fort Worth","Heritage Center of Fort Worth #264","Museum","$49.32","4.5"
"El Paso","Victory Plaza of El Paso #265","Park","$45.26","4.2"
"Arlington","Discovery Gardens of Arlington #266","Historical Site","$19.54","4.4"
"Corpus Christi","Liberty Monument of Corpus Christi #267","Theme Park","$39.98","4.3"
"Plano","Frontier Preserve of Plano #268","Landmark","$25.84","4.6"
"Laredo","Grand Hall of Laredo #269","Nature","$33.17","4.6"
"Lubbock","Heritage Center of Lubbock #270","Museum","$21.96","4.9"
"Garland","Victory Plaza of Garland #271","Park","$12.43","4.9"
"Irving","Discovery Gardens of Irving #272","Historical Site","$6.31","4.3"
"Amarillo","Liberty Monument of Amarillo #273","Theme Park","$15.34","4.2"
"Grand Prairie","Frontier Preserve of Grand Prairie #274","Landmark","$4.74","4.4"
"Brownsville","Grand Hall of Brownsville #275","Nature","$42.37","4.0"
"McKinney","Heritage Center of McKinney #276","Museum","$8.10","4.0"
"Frisco","Victory Plaza of Frisco #277","Park","$5.34","4.0"
"Pasadena","Discovery Gardens of Pasadena #278","Historical Site","$6.37","4.8"
"Mesquite","Liberty Monument of Mesquite #279","Theme Park","$15.33","5.0"
"Austin","Frontier Preserve of Austin #280","Landmark","$27.39","4.5"
"Houston","Grand Hall of Houston #281","Nature","$41.06","4.4"
"Dallas","Heritage Center of Dallas #282","Museum","$15.33","4.6"
"San Antonio","Victory Plaza of San Antonio #283","Park","$12.68","4.2"
"Fort Worth","Discovery Gardens of Fort Worth #284","Historical Site","$39.78","4.5"
"El Paso","Liberty Monument of El Paso #285","Theme Park","$10.19","4.5"
"Arlington","Frontier Preserve of Arlington #286","Landmark","$30.89","4.0"
"Corpus Christi","Grand Hall of Corpus Christi #287","Nature","$28.66","4.2"
"Plano","Heritage Center of Plano #288","Museum","$2.65","4.2"
"Laredo","Victory Plaza of Laredo #289","Park","$22.27","4.8"
"Lubbock","Discovery Gardens of Lubbock #290","Historical Site","$5.99","4.2"
"Garland","Liberty Monument of Garland #291","Theme Park","$44.47","4.5"
"Irving","Frontier Preserve of Irving #292","Landmark","$43.61","4.4"
"Amarillo","Grand Hall of Amarillo #293","Nature","$47.34","4.5"
"Grand Prairie","Heritage Center of Grand Prairie #294","Museum","$15.13","4.6"
"Brownsville","Victory Plaza of Brownsville #295","Park","$22.54","4.6"
"McKinney","Discovery Gardens of McKinney #296","Historical Site","$29.00","4.6"
"Frisco","Liberty Monument of Frisco #297","Theme Park","$30.42","4.9"
"Pasadena","Frontier Preserve of Pasadena #298","Landmark","$25.97","4.5"
"Mesquite","Grand Hall of Mesquite #299","Nature","$1.11","4.2"
"Austin","Heritage Center of Austin #300","Museum","$11.96","4.7"
"Houston","Victory Plaza of Houston #301","Park","$9.34","4.2"
"Dallas","Discovery Gardens of Dallas #302","Historical Site","$30.79","4.8"
"San Antonio","Liberty Monument of San Antonio #303","Theme Park","$49.69","4.2"
"Fort Worth","Frontier Preserve of Fort Worth #304","Landmark","$8.03","4.5"
"El Paso","Grand Hall of El Paso #305","Nature","$28.34","4.2"
"Arlington","Heritage Center of Arlington #306","Museum","$16.84","4.3"
"Corpus Christi","Victory Plaza of Corpus Christi #307","Park","$42.84","4.2"
"Plano","Discovery Gardens of Plano #308","Historical Site","$37.39","4.6"
"Laredo","Liberty Monument of Laredo #309","Theme Park","$48.30","4.5"
"Lubbock","Frontier Preserve of Lubbock #310","Landmark","$29.59","4.2"
"Garland","Grand Hall of Garland #311","Nature","$32.01","4.8"
"Irving","Heritage Center of Irving #312","Museum","$39.07","4.8"
"Amarillo","Victory Plaza of Amarillo #313","Park","$24.29","4.7"
"Grand Prairie","Discovery Gardens of Grand Prairie #314","Historical Site","$44.66","4.4"
"Brownsville","Liberty Monument of Brownsville #315","Theme Park","$22.16","4.5"
"McKinney","Frontier Preserve of McKinney #316","Landmark","$24.56","4.2"
"Frisco","Grand Hall of Frisco #317","Nature","$26.12","4.4"
"Pasadena","Heritage Center of Pasadena #318","Museum","$20.87","4.7"
"Mesquite","Victory Plaza of Mesquite #319","Park","$40.76","4.7"
"Austin","Discovery Gardens of Austin #320","Historical Site","$31.23","4.9"
"Houston","Liberty Monument of Houston #321","Theme Park","$28.31","4.1"
"Dallas","Frontier Preserve of Dallas #322","Landmark","$24.99","4.6"
"San Antonio","Grand Hall of San Antonio #323","Nature","$6.34","4.6"
"Fort Worth","Heritage Center of Fort Worth #324","Museum","$17.67","4.2"
"El Paso","Victory Plaza of El Paso #325","Park","$19.24","5.0"
"Arlington","Discovery Gardens of Arlington #326","Historical Site","$35.17","4.3"
"Corpus Christi","Liberty Monument of Corpus Christi #327","Theme Park","$42.48","4.7"
"Plano","Frontier Preserve of Plano #328","Landmark","$17.72","4.8"
"Laredo","Grand Hall of Laredo #329","Nature","$27.94","4.2"
"Lubbock","Heritage Center of Lubbock #330","Museum","$17.92","4.7"
"Garland","Victory Plaza of Garland #331","Park","$32.40","4.4"
"Irving","Discovery Gardens of Irving #332","Historical Site","$28.53","4.6"
"Amarillo","Liberty Monument of Amarillo #333","Theme Park","$5.08","4.8"
"Grand Prairie","Frontier Preserve of Grand Prairie #334","Landmark","$44.64","4.2"
"Brownsville","Grand Hall of Brownsville #335","Nature","$40.07","4.6"
"McKinney","Heritage Center of McKinney #336","Museum","$35.68","4.7"
"Frisco","Victory Plaza of Frisco #337","Park","$43.51","4.9"
"Pasadena","Discovery Gardens of Pasadena #338","Historical Site","$43.33","4.5"
"Mesquite","Liberty Monument of Mesquite #339","Theme Park","$14.53","4.2"
"Austin","Frontier Preserve of Austin #340","Landmark","$13.95","4.4"
"Houston","Grand Hall of Houston #341","Nature","$5.89","4.7"
"Dallas","Heritage Center of Dallas #342","Museum","$30.82","4.3"
"San Antonio","Victory Plaza of San Antonio #343","Park","$44.03","4.3"
"Fort Worth","Discovery Gardens of Fort Worth #344","Historical Site","$39.49","4.6"
"El Paso","Liberty Monument of El Paso #345","Theme Park","$37.15","4.0"
"Arlington","Frontier Preserve of Arlington #346","Landmark","$10.53","4.1"
"Corpus Christi","Grand Hall of Corpus Christi #347","Nature","$43.04","4.5"
"Plano","Heritage Center of Plano #348","Museum","$47.94","4.8"
"Laredo","Victory Plaza of Laredo #349","Park","$45.73","4.3"
"Lubbock","Discovery Gardens of Lubbock #350","Historical Site","$38.79","4.9"
"Garland","Liberty Monument of Garland #351","Theme Park","$22.07","4.1"
"Irving","Frontier Preserve of Irving #352","Landmark","$12.59","4.3"
"Amarillo","Grand Hall of Amarillo #353","Nature","$21.22","4.6"
"Grand Prairie","Heritage Center of Grand Prairie #354","Museum","$38.44","4.7"
"Brownsville","Victory Plaza of Brownsville #355","Park","$25.80","4.3"
"McKinney","Discovery Gardens of McKinney #356","Historical Site","$33.21","4.3"
"Frisco","Liberty Monument of Frisco #357","Theme Park","$33.94","4.2"
"Pasadena","Frontier Preserve of Pasadena #358","Landmark","$32.30","4.5"
"Mesquite","Grand Hall of Mesquite #359","Nature","$27.98","4.8"
"Austin","Heritage Center of Austin #360","Museum","$49.36","4.1"
"Houston","Victory Plaza of Houston #361","Park","$0.83","4.0"
"Dallas","Discovery Gardens of Dallas #362","Historical Site","$19.71","4.9"
"San Antonio","Liberty Monument of San Antonio #363","Theme Park","$7.70","4.4"
"Fort Worth","Frontier Preserve of Fort Worth #364","Landmark","$22.37","4.8"
"El Paso","Grand Hall of El Paso #365","Nature","$7.37","4.9"
"Arlington","Heritage Center of Arlington #366","Museum","$37.92","4.1"
"Corpus Christi","Victory Plaza of Corpus Christi #367","Park","$36.20","4.7"
"Plano","Discovery Gardens of Plano #368","Historical Site","$0.92","4.9"
"Laredo","Liberty Monument of Laredo #369","Theme Park","$22.36","4.9"
"Lubbock","Frontier Preserve of Lubbock #370","Landmark","$27.49","4.5"
"Garland","Grand Hall of Garland #371","Nature","$32.49","4.9"
"Irving","Heritage Center of Irving #372","Museum","$11.96","4.2"
"Amarillo","Victory Plaza of Amarillo #373","Park","$12.81","4.9"
"Grand Prairie","Discovery Gardens of Grand Prairie #374","Historical Site","$15.16","4.6"
"Brownsville","Liberty Monument of Brownsville #375","Theme Park","$13.06","4.5"
"McKinney","Frontier Preserve of McKinney #376","Landmark","$27.33","4.3"
"Frisco","Grand Hall of Frisco #377","Nature","$31.11","4.5"
"Pasadena","Heritage Center of Pasadena #378","Museum","$36.43","4.3"
"Mesquite","Victory Plaza of Mesquite #379","Park","$41.28","4.6"
"Austin","Discovery Gardens of Austin #380","Historical Site","$14.91","4.2"
"Houston","Liberty Monument of Houston #381","Theme Park","$2.85","4.8"
