"Origin","Destination","Airline","Flight_No","Price","Duration"
"ORD (Chicago)","Irving","United","TX1032","$522.53","3.2h"
"ATL (Atlanta)","Amarillo","Delta","TX1033","$529.67","3.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1034","$198.97","3.1h"
"JFK (New York)","Brownsville","Southwest","TX1035","$455.78","2.5h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1036","$275.49","3.0h"
"ORD (Chicago)","Frisco","United","TX1037","$324.36","3.5h"
"ATL (Atlanta)","Pasadena","Delta","TX1038","$459.27","4.6h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1039","$606.79","4.9h"
"JFK (New York)","Austin","Southwest","TX1040","$409.79","2.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX1041","$248.00","3.0h"
"ORD (Chicago)","Dallas","United","TX1042","$381.69","2.5h"
"ATL (Atlanta)","San Antonio","Delta","TX1043","$266.52","2.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1044","$545.69","2.1h"
"JFK (New York)","El Paso","Southwest","TX1045","$340.70","4.9h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1046","$642.38","3.2h"
"ORD (Chicago)","Corpus Christi","United","TX1047","$331.25","3.8h"
"ATL (Atlanta)","Plano","Delta","TX1048","$564.48","3.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX1049","$244.25","2.2h"
"JFK (New York)","Lubbock","Southwest","TX1050","$586.07","2.9h"
"LAX (Los Angeles)","Garland","American Airlines","TX1051","$574.06","4.3h"
"ORD (Chicago)","Irving","United","TX1052","$518.69","4.2h"
"ATL (Atlanta)","Amarillo","Delta","TX1053","$261.33","2.7h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1054","$570.45","2.7h"
"JFK (New York)","Brownsville","Southwest","TX1055","$440.32","2.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1056","$557.85","3.3h"
"ORD (Chicago)","Frisco","United","TX1057","$473.99","4.1h"
"ATL (Atlanta)","Pasadena","Delta","TX1058","$634.92","4.6h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1059","$425.42","2.6h"
"JFK (New York)","Austin","Southwest","TX1060","$218.42","3.9h"
"LAX (Los Angeles)","Houston","American Airlines","TX1061","$430.65","2.1h"
"ORD (Chicago)","Dallas","United","TX1062","$366.56","4.6h"
"ATL (Atlanta)","San Antonio","Delta","TX1063","$428.52","3.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1064","$447.95","4.9h"
"JFK (New York)","El Paso","Southwest","TX1065","$165.75","2.2h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1066","$281.06","2.6h"
"ORD (Chicago)","Corpus Christi","United","TX1067","$257.89","3.1h"
"ATL (Atlanta)","Plano","Delta","TX1068","$425.12","3.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX1069","$362.50","3.6h"
"JFK (New York)","Lubbock","Southwest","TX1070","$246.54","3.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX1071","$349.28","3.2h"
"ORD (Chicago)","Irving","United","TX1072","$249.69","2.3h"
"ATL (Atlanta)","Amarillo","Delta","TX1073","$550.25","4.6h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1074","$316.98","3.0h"
"JFK (New York)","Brownsville","Southwest","TX1075","$637.54","3.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1076","$205.47","2.3h"
"ORD (Chicago)","Frisco","United","TX1077","$301.04","3.0h"
"ATL (Atlanta)","Pasadena","Delta","TX1078","$482.15","3.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1079","$222.54","2.5h"
"JFK (New York)","Austin","Southwest","TX1080","$582.74","4.5h"
"LAX (Los Angeles)","Houston","American Airlines","TX1081","$481.57","3.4h"
"ORD (Chicago)","Dallas","United","TX1082","$153.95","3.7h"
"ATL (Atlanta)","San Antonio","Delta","TX1083","$315.71","3.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1084","$458.91","4.5h"
"JFK (New York)","El Paso","Southwest","TX1085","$348.19","4.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1086","$244.87","4.7h"
"ORD (Chicago)","Corpus Christi","United","TX1087","$395.48","3.7h"
"ATL (Atlanta)","Plano","Delta","TX1088","$604.19","3.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX1089","$335.04","4.3h"
"JFK (New York)","Lubbock","Southwest","TX1090","$483.58","4.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX1091","$363.62","3.2h"
"ORD (Chicago)","Irving","United","TX1092","$218.77","3.6h"
"ATL (Atlanta)","Amarillo","Delta","TX1093","$594.10","2.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1094","$423.10","4.7h"
"JFK (New York)","Brownsville","Southwest","TX1095","$324.97","5.0h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1096","$201.43","3.6h"
"ORD (Chicago)","Frisco","United","TX1097","$183.52","2.3h"
"ATL (Atlanta)","Pasadena","Delta","TX1098","$236.34","3.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1099","$160.66","4.3h"
"JFK (New York)","Austin","Southwest","TX1100","$618.64","4.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX1101","$351.84","4.8h"
"ORD (Chicago)","Dallas","United","TX1102","$636.12","4.2h"
"ATL (Atlanta)","San Antonio","Delta","TX1103","$326.48","3.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1104","$534.23","3.2h"
"JFK (New York)","El Paso","Southwest","TX1105","$424.71","2.6h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1106","$500.58","2.7h"
"ORD (Chicago)","Corpus Christi","United","TX1107","$211.75","4.1h"
"ATL (Atlanta)","Plano","Delta","TX1108","$638.36","2.6h"
"SFO (San Francisco)","Laredo","JetBlue","TX1109","$326.65","4.2h"
"JFK (New York)","Lubbock","Southwest","TX1110","$341.83","4.5h"
"LAX (Los Angeles)","Garland","American Airlines","TX1111","$442.68","2.9h"
"ORD (Chicago)","Irving","United","TX1112","$173.06","3.1h"
"ATL (Atlanta)","Amarillo","Delta","TX1113","$483.99","4.7h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1114","$406.85","3.9h"
"JFK (New York)","Brownsville","Southwest","TX1115","$242.35","3.4h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1116","$385.08","2.8h"
"ORD (Chicago)","Frisco","United","TX1117","$623.52","2.3h"
"ATL (Atlanta)","Pasadena","Delta","TX1118","$363.22","2.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1119","$197.63","4.0h"
"JFK (New York)","Austin","Southwest","TX1120","$573.69","4.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX1121","$339.62","3.1h"
"ORD (Chicago)","Dallas","United","TX1122","$268.14","4.1h"
"ATL (Atlanta)","San Antonio","Delta","TX1123","$187.12","3.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1124","$581.29","2.5h"
"JFK (New York)","El Paso","Southwest","TX1125","$498.55","4.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1126","$479.83","3.2h"
"ORD (Chicago)","Corpus Christi","United","TX1127","$151.19","2.7h"
"ATL (Atlanta)","Plano","Delta","TX1128","$400.56","3.3h"
"SFO (San Francisco)","Laredo","JetBlue","TX1129","$303.24","4.0h"
"JFK (New York)","Lubbock","Southwest","TX1130","$632.94","3.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX1131","$583.87","5.0h"
"ORD (Chicago)","Irving","United","TX1132","$240.48","4.4h"
"ATL (Atlanta)","Amarillo","Delta","TX1133","$283.55","2.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1134","$495.71","3.0h"
"JFK (New York)","Brownsville","Southwest","TX1135","$589.30","2.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1136","$352.75","3.9h"
"ORD (Chicago)","Frisco","United","TX1137","$290.20","3.3h"
"ATL (Atlanta)","Pasadena","Delta","TX1138","$566.65","4.0h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1139","$427.66","4.4h"
"JFK (New York)","Austin","Southwest","TX1140","$587.87","4.8h"
"LAX (Los Angeles)","Houston","American Airlines","TX1141","$350.14","3.5h"
"ORD (Chicago)","Dallas","United","TX1142","$527.63","2.2h"
"ATL (Atlanta)","San Antonio","Delta","TX1143","$414.43","3.8h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1144","$569.49","5.0h"
"JFK (New York)","El Paso","Southwest","TX1145","$606.29","2.5h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1146","$534.38","4.1h"
"ORD (Chicago)","Corpus Christi","United","TX1147","$191.53","2.2h"
"ATL (Atlanta)","Plano","Delta","TX1148","$479.18","2.4h"
"SFO (San Francisco)","Laredo","JetBlue","TX1149","$469.96","2.5h"
"JFK (New York)","Lubbock","Southwest","TX1150","$378.10","2.1h"
"LAX (Los Angeles)","Garland","American Airlines","TX1151","$153.40","2.5h"
"ORD (Chicago)","Irving","United","TX1152","$275.89","4.9h"
"ATL (Atlanta)","Amarillo","Delta","TX1153","$521.86","2.4h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1154","$599.11","4.9h"
"JFK (New York)","Brownsville","Southwest","TX1155","$226.81","3.2h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1156","$457.67","3.5h"
"ORD (Chicago)","Frisco","United","TX1157","$612.05","4.4h"
"ATL (Atlanta)","Pasadena","Delta","TX1158","$281.84","2.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1159","$294.67","3.1h"
"JFK (New York)","Austin","Southwest","TX1160","$353.45","3.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX1161","$276.40","2.9h"
"ORD (Chicago)","Dallas","United","TX1162","$342.29","3.3h"
"ATL (Atlanta)","San Antonio","Delta","TX1163","$254.87","4.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1164","$365.08","4.5h"
"JFK (New York)","El Paso","Southwest","TX1165","$418.69","2.1h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1166","$508.99","3.7h"
"ORD (Chicago)","Corpus Christi","United","TX1167","$531.13","4.3h"
"ATL (Atlanta)","Plano","Delta","TX1168","$519.52","3.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX1169","$207.95","4.8h"
"JFK (New York)","Lubbock","Southwest","TX1170","$391.59","2.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX1171","$175.58","4.7h"
"ORD (Chicago)","Irving","United","TX1172","$314.04","3.5h"
"ATL (Atlanta)","Amarillo","Delta","TX1173","$623.56","3.0h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1174","$232.30","2.7h"
"JFK (New York)","Brownsville","Southwest","TX1175","$533.32","3.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1176","$615.78","2.7h"
"ORD (Chicago)","Frisco","United","TX1177","$228.99","3.3h"
"ATL (Atlanta)","Pasadena","Delta","TX1178","$303.25","4.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1179","$231.29","3.5h"
"JFK (New York)","Austin","Southwest","TX1180","$318.73","4.8h"
"LAX (Los Angeles)","Houston","American Airlines","TX1181","$523.51","2.8h"
"ORD (Chicago)","Dallas","United","TX1182","$632.04","2.4h"
"ATL (Atlanta)","San Antonio","Delta","TX1183","$308.10","2.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1184","$422.28","4.5h"
"JFK (New York)","El Paso","Southwest","TX1185","$616.96","2.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1186","$582.88","4.1h"
"ORD (Chicago)","Corpus Christi","United","TX1187","$561.87","3.0h"
"ATL (Atlanta)","Plano","Delta","TX1188","$523.36","3.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX1189","$177.38","4.2h"
"JFK (New York)","Lubbock","Southwest","TX1190","$324.11","2.8h"
"LAX (Los Angeles)","Garland","American Airlines","TX1191","$386.27","3.5h"
"ORD (Chicago)","Irving","United","TX1192","$573.93","2.7h"
"ATL (Atlanta)","Amarillo","Delta","TX1193","$609.00","2.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1194","$641.08","5.0h"
"JFK (New York)","Brownsville","Southwest","TX1195","$572.74","4.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1196","$413.91","2.2h"
"ORD (Chicago)","Frisco","United","TX1197","$624.78","3.0h"
"ATL (Atlanta)","Pasadena","Delta","TX1198","$331.97","4.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1199","$601.66","4.0h"
"JFK (New York)","Austin","Southwest","TX1200","$491.34","3.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX1201","$482.44","3.1h"
"ORD (Chicago)","Dallas","United","TX1202","$195.73","4.2h"
"ATL (Atlanta)","San Antonio","Delta","TX1203","$366.29","3.2h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1204","$502.90","2.9h"
"JFK (New York)","El Paso","Southwest","TX1205","$397.46","3.1h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1206","$456.15","4.8h"
"ORD (Chicago)","Corpus Christi","United","TX1207","$341.04","2.2h"
"ATL (Atlanta)","Plano","Delta","TX1208","$531.93","3.9h"
"SFO (San Francisco)","Laredo","JetBlue","TX1209","$236.32","2.7h"
"JFK (New York)","Lubbock","Southwest","TX1210","$312.74","3.1h"
"LAX (Los Angeles)","Garland","American Airlines","TX1211","$500.13","4.7h"
"ORD (Chicago)","Irving","United","TX1212","$225.09","4.6h"
"ATL (Atlanta)","Amarillo","Delta","TX1213","$322.68","3.8h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1214","$504.63","4.6h"
"JFK (New York)","Brownsville","Southwest","TX1215","$463.37","3.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1216","$518.98","3.0h"
"ORD (Chicago)","Frisco","United","TX1217","$459.12","2.2h"
"ATL (Atlanta)","Pasadena","Delta","TX1218","$283.73","4.4h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1219","$561.28","3.4h"
"JFK (New York)","Austin","Southwest","TX1220","$471.99","3.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX1221","$377.46","4.1h"
"ORD (Chicago)","Dallas","United","TX1222","$409.72","3.0h"
"ATL (Atlanta)","San Antonio","Delta","TX1223","$465.19","2.3h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1224","$513.52","3.0h"
"JFK (New York)","El Paso","Southwest","TX1225","$404.73","3.1h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1226","$586.91","3.9h"
"ORD (Chicago)","Corpus Christi","United","TX1227","$266.19","2.5h"
"ATL (Atlanta)","Plano","Delta","TX1228","$306.00","4.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX1229","$628.80","2.3h"
"JFK (New York)","Lubbock","Southwest","TX1230","$333.01","4.9h"
"LAX (Los Angeles)","Garland","American Airlines","TX1231","$261.88","3.9h"
"ORD (Chicago)","Irving","United","TX1232","$416.43","4.9h"
"ATL (Atlanta)","Amarillo","Delta","TX1233","$614.49","3.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1234","$291.17","3.7h"
"JFK (New York)","Brownsville","Southwest","TX1235","$613.53","4.8h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1236","$536.46","2.7h"
"ORD (Chicago)","Frisco","United","TX1237","$188.96","4.4h"
"ATL (Atlanta)","Pasadena","Delta","TX1238","$163.48","3.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1239","$578.62","4.0h"
"JFK (New York)","Austin","Southwest","TX1240","$571.00","2.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX1241","$637.16","4.8h"
"ORD (Chicago)","Dallas","United","TX1242","$489.85","4.3h"
"ATL (Atlanta)","San Antonio","Delta","TX1243","$249.04","4.5h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1244","$165.93","2.6h"
"JFK (New York)","El Paso","Southwest","TX1245","$268.41","3.0h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1246","$259.25","2.9h"
"ORD (Chicago)","Corpus Christi","United","TX1247","$306.43","2.0h"
"ATL (Atlanta)","Plano","Delta","TX1248","$300.91","3.0h"
"SFO (San Francisco)","Laredo","JetBlue","TX1249","$238.68","2.0h"
"JFK (New York)","Lubbock","Southwest","TX1250","$297.91","3.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX1251","$388.40","2.2h"
"ORD (Chicago)","Irving","United","TX1252","$326.50","4.6h"
"ATL (Atlanta)","Amarillo","Delta","TX1253","$293.69","4.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1254","$593.54","2.8h"
"JFK (New York)","Brownsville","Southwest","TX1255","$412.85","2.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1256","$599.47","3.3h"
"ORD (Chicago)","Frisco","United","TX1257","$275.98","3.1h"
"ATL (Atlanta)","Pasadena","Delta","TX1258","$191.36","3.1h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1259","$244.44","3.5h"
"JFK (New York)","Austin","Southwest","TX1260","$207.20","4.7h"
"LAX (Los Angeles)","Houston","American Airlines","TX1261","$390.64","2.5h"
"ORD (Chicago)","Dallas","United","TX1262","$590.15","2.8h"
"ATL (Atlanta)","San Antonio","Delta","TX1263","$479.16","4.5h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1264","$330.00","5.0h"
"JFK (New York)","El Paso","Southwest","TX1265","$508.04","2.7h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1266","$217.68","4.5h"
"ORD (Chicago)","Corpus Christi","United","TX1267","$424.42","2.3h"
"ATL (Atlanta)","Plano","Delta","TX1268","$456.10","2.1h"
"SFO (San Francisco)","Laredo","JetBlue","TX1269","$518.29","3.6h"
"JFK (New York)","Lubbock","Southwest","TX1270","$165.18","3.6h"
"LAX (Los Angeles)","Garland","American Airlines","TX1271","$364.74","4.8h"
"ORD (Chicago)","Irving","United","TX1272","$305.29","3.8h"
"ATL (Atlanta)","Amarillo","Delta","TX1273","$264.04","3.8h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1274","$232.22","4.8h"
"JFK (New York)","Brownsville","Southwest","TX1275","$437.24","3.0h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1276","$180.44","2.8h"
"ORD (Chicago)","Frisco","United","TX1277","$384.99","4.9h"
"ATL (Atlanta)","Pasadena","Delta","TX1278","$314.68","4.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1279","$617.30","2.5h"
"JFK (New York)","Austin","Southwest","TX1280","$271.87","2.3h"
"LAX (Los Angeles)","Houston","American Airlines","TX1281","$266.01","4.0h"
"ORD (Chicago)","Dallas","United","TX1282","$447.92","4.0h"
"ATL (Atlanta)","San Antonio","Delta","TX1283","$558.72","4.5h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1284","$269.72","3.7h"
"JFK (New York)","El Paso","Southwest","TX1285","$503.46","2.4h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1286","$443.61","3.3h"
"ORD (Chicago)","Corpus Christi","United","TX1287","$201.25","4.3h"
"ATL (Atlanta)","Plano","Delta","TX1288","$156.91","4.4h"
"SFO (San Francisco)","Laredo","JetBlue","TX1289","$401.69","2.8h"
"JFK (New York)","Lubbock","Southwest","TX1290","$411.32","3.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX1291","$381.31","4.0h"
"ORD (Chicago)","Irving","United","TX1292","$637.22","2.5h"
"ATL (Atlanta)","Amarillo","Delta","TX1293","$241.25","5.0h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1294","$388.67","4.2h"
"JFK (New York)","Brownsville","Southwest","TX1295","$492.54","4.6h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1296","$400.46","3.3h"
"ORD (Chicago)","Frisco","United","TX1297","$630.87","3.5h"
"ATL (Atlanta)","Pasadena","Delta","TX1298","$587.86","3.8h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1299","$410.17","3.1h"
"JFK (New York)","Austin","Southwest","TX1300","$390.25","2.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX1301","$360.43","3.4h"
"ORD (Chicago)","Dallas","United","TX1302","$300.45","3.1h"
"ATL (Atlanta)","San Antonio","Delta","TX1303","$566.50","3.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1304","$548.14","2.4h"
"JFK (New York)","El Paso","Southwest","TX1305","$340.38","2.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1306","$214.14","4.0h"
"ORD (Chicago)","Corpus Christi","United","TX1307","$426.07","2.3h"
"ATL (Atlanta)","Plano","Delta","TX1308","$367.56","2.8h"
"SFO (San Francisco)","Laredo","JetBlue","TX1309","$175.01","3.6h"
"JFK (New York)","Lubbock","Southwest","TX1310","$246.86","3.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX1311","$289.14","2.5h"
"ORD (Chicago)","Irving","United","TX1312","$167.88","4.5h"
"ATL (Atlanta)","Amarillo","Delta","TX1313","$620.40","3.1h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1314","$436.17","2.8h"
"JFK (New York)","Brownsville","Southwest","TX1315","$302.20","2.7h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1316","$435.33","2.4h"
"ORD (Chicago)","Frisco","United","TX1317","$394.18","2.4h"
"ATL (Atlanta)","Pasadena","Delta","TX1318","$390.21","4.2h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1319","$528.58","4.1h"
"JFK (New York)","Austin","Southwest","TX1320","$560.56","3.2h"
"LAX (Los Angeles)","Houston","American Airlines","TX1321","$594.23","3.0h"
"ORD (Chicago)","Dallas","United","TX1322","$245.93","2.0h"
"ATL (Atlanta)","San Antonio","Delta","TX1323","$504.00","4.6h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1324","$400.51","4.1h"
"JFK (New York)","El Paso","Southwest","TX1325","$266.53","2.3h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1326","$172.36","3.9h"
"ORD (Chicago)","Corpus Christi","United","TX1327","$364.47","2.2h"
"ATL (Atlanta)","Plano","Delta","TX1328","$215.52","4.6h"
"SFO (San Francisco)","Laredo","JetBlue","TX1329","$589.45","3.1h"
"JFK (New York)","Lubbock","Southwest","TX1330","$312.07","4.7h"
"LAX (Los Angeles)","Garland","American Airlines","TX1331","$544.50","2.9h"
"ORD (Chicago)","Irving","United","TX1332","$538.35","2.1h"
"ATL (Atlanta)","Amarillo","Delta","TX1333","$578.91","2.9h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1334","$422.84","2.0h"
"JFK (New York)","Brownsville","Southwest","TX1335","$257.75","2.9h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1336","$547.43","3.3h"
"ORD (Chicago)","Frisco","United","TX1337","$319.47","3.8h"
"ATL (Atlanta)","Pasadena","Delta","TX1338","$208.08","2.3h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1339","$532.75","3.7h"
"JFK (New York)","Austin","Southwest","TX1340","$397.65","2.0h"
"LAX (Los Angeles)","Houston","American Airlines","TX1341","$219.66","2.2h"
"ORD (Chicago)","Dallas","United","TX1342","$348.15","3.0h"
"ATL (Atlanta)","San Antonio","Delta","TX1343","$214.21","4.0h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1344","$584.93","4.0h"
"JFK (New York)","El Paso","Southwest","TX1345","$309.84","2.8h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1346","$463.20","3.9h"
"ORD (Chicago)","Corpus Christi","United","TX1347","$626.24","4.8h"
"ATL (Atlanta)","Plano","Delta","TX1348","$211.43","2.7h"
"SFO (San Francisco)","Laredo","JetBlue","TX1349","$561.31","2.3h"
"JFK (New York)","Lubbock","Southwest","TX1350","$481.06","3.4h"
"LAX (Los Angeles)","Garland","American Airlines","TX1351","$196.06","4.1h"
"ORD (Chicago)","Irving","United","TX1352","$372.73","2.4h"
"ATL (Atlanta)","Amarillo","Delta","TX1353","$462.44","2.2h"
"SFO (San Francisco)","Grand Prairie","JetBlue","TX1354","$350.51","4.4h"
"JFK (New York)","Brownsville","Southwest","TX1355","$437.64","3.3h"
"LAX (Los Angeles)","McKinney","American Airlines","TX1356","$563.37","3.0h"
"ORD (Chicago)","Frisco","United","TX1357","$594.60","2.8h"
"ATL (Atlanta)","Pasadena","Delta","TX1358","$186.46","3.5h"
"SFO (San Francisco)","Mesquite","JetBlue","TX1359","$375.45","2.1h"
"JFK (New York)","Austin","Southwest","TX1360","$419.42","2.1h"
"LAX (Los Angeles)","Houston","American Airlines","TX1361","$227.30","3.2h"
"ORD (Chicago)","Dallas","United","TX1362","$203.41","4.2h"
"ATL (Atlanta)","San Antonio","Delta","TX1363","$182.50","4.1h"
"SFO (San Francisco)","Fort Worth","JetBlue","TX1364","$249.35","4.8h"
"JFK (New York)","El Paso","Southwest","TX1365","$503.43","3.3h"
"LAX (Los Angeles)","Arlington","American Airlines","TX1366","$223.31","3.4h"
"ORD (Chicago)","Corpus Christi","United","TX1367","$596.95","4.3h"
"ATL (Atlanta)","Plano","Delta","TX1368","$195.51","3.2h"
"SFO (San Francisco)","Laredo","JetBlue","TX1369","$245.79","4.4h"
"JFK (New York)","Lubbock","Southwest","TX1370","$562.87","4.3h"
"LAX (Los Angeles)","Garland","American Airlines","TX1371","$386.47","3.6h"
"ORD (Chicago)","Irving","United","TX1372","$367.26","3.1h"
