"City","Name","Category","Rate","Amenities"
"El Paso","River Manor El Paso #105","Ranch","$367/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #106","Suites","$82/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #107","Inn","$138/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #108","Luxury","$263/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #109","Budget","$236/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #110","Boutique","$109/night","Spa, Bar"
"Garland","River Manor Garland #111","Ranch","$315/night","Parking, Pets"
"Irving","Star Courtyard Irving #112","Suites","$325/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #113","Inn","$183/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #114","Luxury","$465/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #115","Budget","$343/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #116","Boutique","$176/night","Pool, WiFi"
"Frisco","River Manor Frisco #117","Ranch","$212/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #118","Suites","$315/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #119","Inn","$167/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #120","Luxury","$163/night","Pool, WiFi"
"Houston","Cactus Resort Houston #121","Budget","$340/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #122","Boutique","$188/night","Spa, Bar"
"San Antonio","River Manor San Antonio #123","Ranch","$413/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #124","Suites","$327/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #125","Inn","$115/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #126","Luxury","$200/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #127","Budget","$174/night","Parking, Pets"
"Plano","Saddle Lodge Plano #128","Boutique","$107/night","Pool, WiFi"
"Laredo","River Manor Laredo #129","Ranch","$354/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #130","Suites","$441/night","Spa, Bar"
"Garland","Crest Suites Garland #131","Inn","$388/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #132","Luxury","$421/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #133","Budget","$361/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #134","Boutique","$287/night","Spa, Bar"
"Brownsville","River Manor Brownsville #135","Ranch","$192/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #136","Suites","$221/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #137","Inn","$134/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #138","Luxury","$331/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #139","Budget","$321/night","Parking, Pets"
"Austin","Saddle Lodge Austin #140","Boutique","$399/night","Pool, WiFi"
"Houston","River Manor Houston #141","Ranch","$81/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #142","Suites","$354/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #143","Inn","$168/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #144","Luxury","$139/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #145","Budget","$258/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #146","Boutique","$141/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #147","Ranch","$180/night","Parking, Pets"
"Plano","Star Courtyard Plano #148","Suites","$88/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #149","Inn","$344/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #150","Luxury","$298/night","Spa, Bar"
"Garland","Cactus Resort Garland #151","Budget","$239/night","Parking, Pets"
"Irving","Saddle Lodge Irving #152","Boutique","$189/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #153","Ranch","$293/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #154","Suites","$136/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #155","Inn","$154/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #156","Luxury","$215/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #157","Budget","$425/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #158","Boutique","$463/night","Spa, Bar"
"Mesquite","River Manor Mesquite #159","Ranch","$169/night","Parking, Pets"
"Austin","Star Courtyard Austin #160","Suites","$153/night","Pool, WiFi"
"Houston","Crest Suites Houston #161","Inn","$301/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #162","Luxury","$466/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #163","Budget","$430/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #164","Boutique","$352/night","Pool, WiFi"
"El Paso","River Manor El Paso #165","Ranch","$88/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #166","Suites","$124/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #167","Inn","$321/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #168","Luxury","$322/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #169","Budget","$313/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #170","Boutique","$335/night","Spa, Bar"
"Garland","River Manor Garland #171","Ranch","$250/night","Parking, Pets"
"Irving","Star Courtyard Irving #172","Suites","$365/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #173","Inn","$454/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #174","Luxury","$402/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #175","Budget","$279/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #176","Boutique","$157/night","Pool, WiFi"
"Frisco","River Manor Frisco #177","Ranch","$467/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #178","Suites","$364/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #179","Inn","$431/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #180","Luxury","$278/night","Pool, WiFi"
"Houston","Cactus Resort Houston #181","Budget","$301/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #182","Boutique","$181/night","Spa, Bar"
"San Antonio","River Manor San Antonio #183","Ranch","$182/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #184","Suites","$170/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #185","Inn","$248/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #186","Luxury","$124/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #187","Budget","$371/night","Parking, Pets"
"Plano","Saddle Lodge Plano #188","Boutique","$155/night","Pool, WiFi"
"Laredo","River Manor Laredo #189","Ranch","$345/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #190","Suites","$163/night","Spa, Bar"
"Garland","Crest Suites Garland #191","Inn","$210/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #192","Luxury","$354/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #193","Budget","$136/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #194","Boutique","$421/night","Spa, Bar"
"Brownsville","River Manor Brownsville #195","Ranch","$220/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #196","Suites","$467/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #197","Inn","$135/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #198","Luxury","$329/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #199","Budget","$136/night","Parking, Pets"
"Austin","Saddle Lodge Austin #200","Boutique","$75/night","Pool, WiFi"
"Houston","River Manor Houston #201","Ranch","$336/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #202","Suites","$432/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #203","Inn","$393/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #204","Luxury","$264/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #205","Budget","$206/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #206","Boutique","$312/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #207","Ranch","$311/night","Parking, Pets"
"Plano","Star Courtyard Plano #208","Suites","$462/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #209","Inn","$98/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #210","Luxury","$239/night","Spa, Bar"
"Garland","Cactus Resort Garland #211","Budget","$151/night","Parking, Pets"
"Irving","Saddle Lodge Irving #212","Boutique","$350/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #213","Ranch","$268/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #214","Suites","$406/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #215","Inn","$375/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #216","Luxury","$178/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #217","Budget","$251/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #218","Boutique","$250/night","Spa, Bar"
"Mesquite","River Manor Mesquite #219","Ranch","$315/night","Parking, Pets"
"Austin","Star Courtyard Austin #220","Suites","$411/night","Pool, WiFi"
"Houston","Crest Suites Houston #221","Inn","$245/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #222","Luxury","$193/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #223","Budget","$104/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #224","Boutique","$130/night","Pool, WiFi"
"El Paso","River Manor El Paso #225","Ranch","$401/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #226","Suites","$223/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #227","Inn","$357/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #228","Luxury","$377/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #229","Budget","$301/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #230","Boutique","$198/night","Spa, Bar"
"Garland","River Manor Garland #231","Ranch","$79/night","Parking, Pets"
"Irving","Star Courtyard Irving #232","Suites","$370/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #233","Inn","$286/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #234","Luxury","$154/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #235","Budget","$166/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #236","Boutique","$322/night","Pool, WiFi"
"Frisco","River Manor Frisco #237","Ranch","$271/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #238","Suites","$419/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #239","Inn","$177/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #240","Luxury","$421/night","Pool, WiFi"
"Houston","Cactus Resort Houston #241","Budget","$248/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #242","Boutique","$165/night","Spa, Bar"
"San Antonio","River Manor San Antonio #243","Ranch","$372/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #244","Suites","$403/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #245","Inn","$242/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #246","Luxury","$175/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #247","Budget","$247/night","Parking, Pets"
"Plano","Saddle Lodge Plano #248","Boutique","$259/night","Pool, WiFi"
"Laredo","River Manor Laredo #249","Ranch","$460/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #250","Suites","$379/night","Spa, Bar"
"Garland","Crest Suites Garland #251","Inn","$284/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #252","Luxury","$124/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #253","Budget","$431/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #254","Boutique","$402/night","Spa, Bar"
"Brownsville","River Manor Brownsville #255","Ranch","$140/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #256","Suites","$152/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #257","Inn","$136/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #258","Luxury","$272/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #259","Budget","$257/night","Parking, Pets"
"Austin","Saddle Lodge Austin #260","Boutique","$237/night","Pool, WiFi"
"Houston","River Manor Houston #261","Ranch","$452/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #262","Suites","$113/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #263","Inn","$346/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #264","Luxury","$222/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #265","Budget","$411/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #266","Boutique","$234/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #267","Ranch","$378/night","Parking, Pets"
"Plano","Star Courtyard Plano #268","Suites","$359/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #269","Inn","$175/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #270","Luxury","$213/night","Spa, Bar"
"Garland","Cactus Resort Garland #271","Budget","$295/night","Parking, Pets"
"Irving","Saddle Lodge Irving #272","Boutique","$311/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #273","Ranch","$244/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #274","Suites","$208/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #275","Inn","$398/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #276","Luxury","$425/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #277","Budget","$199/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #278","Boutique","$223/night","Spa, Bar"
"Mesquite","River Manor Mesquite #279","Ranch","$123/night","Parking, Pets"
"Austin","Star Courtyard Austin #280","Suites","$468/night","Pool, WiFi"
"Houston","Crest Suites Houston #281","Inn","$232/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #282","Luxury","$246/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #283","Budget","$103/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #284","Boutique","$420/night","Pool, WiFi"
"El Paso","River Manor El Paso #285","Ranch","$146/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #286","Suites","$148/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #287","Inn","$120/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #288","Luxury","$127/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #289","Budget","$124/night","Gym, Breakfast"
"Lubbock","Saddle Lodge Lubbock #290","Boutique","$396/night","Spa, Bar"
"Garland","River Manor Garland #291","Ranch","$336/night","Parking, Pets"
"Irving","Star Courtyard Irving #292","Suites","$436/night","Pool, WiFi"
"Amarillo","Crest Suites Amarillo #293","Inn","$321/night","Gym, Breakfast"
"Grand Prairie","Magnolia Hotel Grand Prairie #294","Luxury","$108/night","Spa, Bar"
"Brownsville","Cactus Resort Brownsville #295","Budget","$195/night","Parking, Pets"
"McKinney","Saddle Lodge McKinney #296","Boutique","$296/night","Pool, WiFi"
"Frisco","River Manor Frisco #297","Ranch","$111/night","Gym, Breakfast"
"Pasadena","Star Courtyard Pasadena #298","Suites","$349/night","Spa, Bar"
"Mesquite","Crest Suites Mesquite #299","Inn","$422/night","Parking, Pets"
"Austin","Magnolia Hotel Austin #300","Luxury","$411/night","Pool, WiFi"
"Houston","Cactus Resort Houston #301","Budget","$302/night","Gym, Breakfast"
"Dallas","Saddle Lodge Dallas #302","Boutique","$421/night","Spa, Bar"
"San Antonio","River Manor San Antonio #303","Ranch","$242/night","Parking, Pets"
"Fort Worth","Star Courtyard Fort Worth #304","Suites","$238/night","Pool, WiFi"
"El Paso","Crest Suites El Paso #305","Inn","$243/night","Gym, Breakfast"
"Arlington","Magnolia Hotel Arlington #306","Luxury","$251/night","Spa, Bar"
"Corpus Christi","Cactus Resort Corpus Christi #307","Budget","$424/night","Parking, Pets"
"Plano","Saddle Lodge Plano #308","Boutique","$330/night","Pool, WiFi"
"Laredo","River Manor Laredo #309","Ranch","$274/night","Gym, Breakfast"
"Lubbock","Star Courtyard Lubbock #310","Suites","$260/night","Spa, Bar"
"Garland","Crest Suites Garland #311","Inn","$438/night","Parking, Pets"
"Irving","Magnolia Hotel Irving #312","Luxury","$90/night","Pool, WiFi"
"Amarillo","Cactus Resort Amarillo #313","Budget","$179/night","Gym, Breakfast"
"Grand Prairie","Saddle Lodge Grand Prairie #314","Boutique","$168/night","Spa, Bar"
"Brownsville","River Manor Brownsville #315","Ranch","$388/night","Parking, Pets"
"McKinney","Star Courtyard McKinney #316","Suites","$305/night","Pool, WiFi"
"Frisco","Crest Suites Frisco #317","Inn","$445/night","Gym, Breakfast"
"Pasadena","Magnolia Hotel Pasadena #318","Luxury","$200/night","Spa, Bar"
"Mesquite","Cactus Resort Mesquite #319","Budget","$143/night","Parking, Pets"
"Austin","Saddle Lodge Austin #320","Boutique","$390/night","Pool, WiFi"
"Houston","River Manor Houston #321","Ranch","$321/night","Gym, Breakfast"
"Dallas","Star Courtyard Dallas #322","Suites","$350/night","Spa, Bar"
"San Antonio","Crest Suites San Antonio #323","Inn","$332/night","Parking, Pets"
"Fort Worth","Magnolia Hotel Fort Worth #324","Luxury","$177/night","Pool, WiFi"
"El Paso","Cactus Resort El Paso #325","Budget","$293/night","Gym, Breakfast"
"Arlington","Saddle Lodge Arlington #326","Boutique","$202/night","Spa, Bar"
"Corpus Christi","River Manor Corpus Christi #327","Ranch","$160/night","Parking, Pets"
"Plano","Star Courtyard Plano #328","Suites","$155/night","Pool, WiFi"
"Laredo","Crest Suites Laredo #329","Inn","$428/night","Gym, Breakfast"
"Lubbock","Magnolia Hotel Lubbock #330","Luxury","$393/night","Spa, Bar"
"Garland","Cactus Resort Garland #331","Budget","$256/night","Parking, Pets"
"Irving","Saddle Lodge Irving #332","Boutique","$437/night","Pool, WiFi"
"Amarillo","River Manor Amarillo #333","Ranch","$273/night","Gym, Breakfast"
"Grand Prairie","Star Courtyard Grand Prairie #334","Suites","$265/night","Spa, Bar"
"Brownsville","Crest Suites Brownsville #335","Inn","$72/night","Parking, Pets"
"McKinney","Magnolia Hotel McKinney #336","Luxury","$222/night","Pool, WiFi"
"Frisco","Cactus Resort Frisco #337","Budget","$329/night","Gym, Breakfast"
"Pasadena","Saddle Lodge Pasadena #338","Boutique","$435/night","Spa, Bar"
"Mesquite","River Manor Mesquite #339","Ranch","$127/night","Parking, Pets"
"Austin","Star Courtyard Austin #340","Suites","$100/night","Pool, WiFi"
"Houston","Crest Suites Houston #341","Inn","$273/night","Gym, Breakfast"
"Dallas","Magnolia Hotel Dallas #342","Luxury","$75/night","Spa, Bar"
"San Antonio","Cactus Resort San Antonio #343","Budget","$204/night","Parking, Pets"
"Fort Worth","Saddle Lodge Fort Worth #344","Boutique","$415/night","Pool, WiFi"
"El Paso","River Manor El Paso #345","Ranch","$237/night","Gym, Breakfast"
"Arlington","Star Courtyard Arlington #346","Suites","$327/night","Spa, Bar"
"Corpus Christi","Crest Suites Corpus Christi #347","Inn","$318/night","Parking, Pets"
"Plano","Magnolia Hotel Plano #348","Luxury","$90/night","Pool, WiFi"
"Laredo","Cactus Resort Laredo #349","Budget","$295/night","Gym, Breakfast"
