"City","Name","Category","Price","Rating"
"El Paso","Yellow Rose Taqueria of El Paso #45","Seafood","$$","4.8"
"Arlington","Alamo Smokehouse of Arlington #46","Southern","$$$","4.9"
"Corpus Christi","Pecos Table of Corpus Christi #47","Bistro","$$$$","4.0"
"Plano","Lone Star Pit of Plano #48","BBQ","$","4.4"
"Laredo","Big Tex Grill of Laredo #49","Tex-Mex","$$","4.8"
"Lubbock","Blue Bonnet Kitchen of Lubbock #50","Steakhouse","$$$","4.8"
"Garland","Yellow Rose Taqueria of Garland #51","Seafood","$$$$","4.0"
"Irving","Alamo Smokehouse of Irving #52","Southern","$","4.3"
"Amarillo","Pecos Table of Amarillo #53","Bistro","$$","4.8"
"Grand Prairie","Lone Star Pit of Grand Prairie #54","BBQ","$$$","4.6"
"Brownsville","Big Tex Grill of Brownsville #55","Tex-Mex","$$$$","3.7"
"McKinney","Blue Bonnet Kitchen of McKinney #56","Steakhouse","$","3.9"
"Frisco","Yellow Rose Taqueria of Frisco #57","Seafood","$$","3.7"
"Pasadena","Alamo Smokehouse of Pasadena #58","Southern","$$$","3.5"
"Mesquite","Pecos Table of Mesquite #59","Bistro","$$$$","3.5"
"Austin","Lone Star Pit of Austin #60","BBQ","$","3.8"
"Houston","Big Tex Grill of Houston #61","Tex-Mex","$$","4.8"
"Dallas","Blue Bonnet Kitchen of Dallas #62","Steakhouse","$$$","4.9"
"San Antonio","Yellow Rose Taqueria of San Antonio #63","Seafood","$$$$","4.6"
"Fort Worth","Alamo Smokehouse of Fort Worth #64","Southern","$","4.4"
"El Paso","Pecos Table of El Paso #65","Bistro","$$","4.8"
"Arlington","Lone Star Pit of Arlington #66","BBQ","$$$","3.7"
"Corpus Christi","Big Tex Grill of Corpus Christi #67","Tex-Mex","$$$$","4.3"
"Plano","Blue Bonnet Kitchen of Plano #68","Steakhouse","$","4.9"
"Laredo","Yellow Rose Taqueria of Laredo #69","Seafood","$$","4.4"
"Lubbock","Alamo Smokehouse of Lubbock #70","Southern","$$$","3.9"
"Garland","Pecos Table of Garland #71","Bistro","$$$$","3.6"
"Irving","Lone Star Pit of Irving #72","BBQ","$","4.8"
"Amarillo","Big Tex Grill of Amarillo #73","Tex-Mex","$$","4.4"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #74","Steakhouse","$$$","3.5"
"Brownsville","Yellow Rose Taqueria of Brownsville #75","Seafood","$$$$","3.5"
"McKinney","Alamo Smokehouse of McKinney #76","Southern","$","3.9"
"Frisco","Pecos Table of Frisco #77","Bistro","$$","4.9"
"Pasadena","Lone Star Pit of Pasadena #78","BBQ","$$$","4.8"
"Mesquite","Big Tex Grill of Mesquite #79","Tex-Mex","$$$$","4.6"
"Austin","Blue Bonnet Kitchen of Austin #80","Steakhouse","$","3.8"
"Houston","Yellow Rose Taqueria of Houston #81","Seafood","$$","4.5"
"Dallas","Alamo Smokehouse of Dallas #82","Southern","$$$","3.6"
"San Antonio","Pecos Table of San Antonio #83","Bistro","$$$$","4.8"
"Fort Worth","Lone Star Pit of Fort Worth #84","BBQ","$","4.6"
"El Paso","Big Tex Grill of El Paso #85","Tex-Mex","$$","4.9"
"Arlington","Blue Bonnet Kitchen of Arlington #86","Steakhouse","$$$","4.0"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #87","Seafood","$$$$","4.2"
"Plano","Alamo Smokehouse of Plano #88","Southern","$","3.7"
"Laredo","Pecos Table of Laredo #89","Bistro","$$","4.2"
"Lubbock","Lone Star Pit of Lubbock #90","BBQ","$$$","4.1"
"Garland","Big Tex Grill of Garland #91","Tex-Mex","$$$$","4.1"
"Irving","Blue Bonnet Kitchen of Irving #92","Steakhouse","$","4.6"
"Amarillo","Yellow Rose Taqueria of Amarillo #93","Seafood","$$","3.6"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #94","Southern","$$$","3.7"
"Brownsville","Pecos Table of Brownsville #95","Bistro","$$$$","3.9"
"McKinney","Lone Star Pit of McKinney #96","BBQ","$","4.8"
"Frisco","Big Tex Grill of Frisco #97","Tex-Mex","$$","4.2"
"Pasadena","Blue Bonnet Kitchen of Pasadena #98","Steakhouse","$$$","3.5"
"Mesquite","Yellow Rose Taqueria of Mesquite #99","Seafood","$$$$","4.0"
"Austin","Alamo Smokehouse of Austin #100","Southern","$","4.6"
"Houston","Pecos Table of Houston #101","Bistro","$$","3.6"
"Dallas","Lone Star Pit of Dallas #102","BBQ","$$$","5.0"
"San Antonio","Big Tex Grill of San Antonio #103","Tex-Mex","$$$$","4.2"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #104","Steakhouse","$","3.8"
"El Paso","Yellow Rose Taqueria of El Paso #105","Seafood","$$","3.5"
"Arlington","Alamo Smokehouse of Arlington #106","Southern","$$$","4.5"
"Corpus Christi","Pecos Table of Corpus Christi #107","Bistro","$$$$","3.8"
"Plano","Lone Star Pit of Plano #108","BBQ","$","5.0"
"Laredo","Big Tex Grill of Laredo #109","Tex-Mex","$$","4.5"
"Lubbock","Blue Bonnet Kitchen of Lubbock #110","Steakhouse","$$$","4.3"
"Garland","Yellow Rose Taqueria of Garland #111","Seafood","$$$$","3.9"
"Irving","Alamo Smokehouse of Irving #112","Southern","$","4.5"
"Amarillo","Pecos Table of Amarillo #113","Bistro","$$","4.2"
"Grand Prairie","Lone Star Pit of Grand Prairie #114","BBQ","$$$","4.4"
"Brownsville","Big Tex Grill of Brownsville #115","Tex-Mex","$$$$","4.2"
"McKinney","Blue Bonnet Kitchen of McKinney #116","Steakhouse","$","4.3"
"Frisco","Yellow Rose Taqueria of Frisco #117","Seafood","$$","3.8"
"Pasadena","Alamo Smokehouse of Pasadena #118","Southern","$$$","4.5"
"Mesquite","Pecos Table of Mesquite #119","Bistro","$$$$","4.8"
"Austin","Lone Star Pit of Austin #120","BBQ","$","3.9"
"Houston","Big Tex Grill of Houston #121","Tex-Mex","$$","3.8"
"Dallas","Blue Bonnet Kitchen of Dallas #122","Steakhouse","$$$","4.5"
"San Antonio","Yellow Rose Taqueria of San Antonio #123","Seafood","$$$$","3.5"
"Fort Worth","Alamo Smokehouse of Fort Worth #124","Southern","$","3.8"
"El Paso","Pecos Table of El Paso #125","Bistro","$$","3.9"
"Arlington","Lone Star Pit of Arlington #126","BBQ","$$$","4.1"
"Corpus Christi","Big Tex Grill of Corpus Christi #127","Tex-Mex","$$$$","4.5"
"Plano","Blue Bonnet Kitchen of Plano #128","Steakhouse","$","3.5"
"Laredo","Yellow Rose Taqueria of Laredo #129","Seafood","$$","3.6"
"Lubbock","Alamo Smokehouse of Lubbock #130","Southern","$$$","3.9"
"Garland","Pecos Table of Garland #131","Bistro","$$$$","4.1"
"Irving","Lone Star Pit of Irving #132","BBQ","$","4.8"
"Amarillo","Big Tex Grill of Amarillo #133","Tex-Mex","$$","4.0"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #134","Steakhouse","$$$","4.4"
"Brownsville","Yellow Rose Taqueria of Brownsville #135","Seafood","$$$$","4.8"
"McKinney","Alamo Smokehouse of McKinney #136","Southern","$","4.3"
"Frisco","Pecos Table of Frisco #137","Bistro","$$","4.5"
"Pasadena","Lone Star Pit of Pasadena #138","BBQ","$$$","4.0"
"Mesquite","Big Tex Grill of Mesquite #139","Tex-Mex","$$$$","4.1"
"Austin","Blue Bonnet Kitchen of Austin #140","Steakhouse","$","4.5"
"Houston","Yellow Rose Taqueria of Houston #141","Seafood","$$","4.8"
"Dallas","Alamo Smokehouse of Dallas #142","Southern","$$$","4.3"
"San Antonio","Pecos Table of San Antonio #143","Bistro","$$$$","3.5"
"Fort Worth","Lone Star Pit of Fort Worth #144","BBQ","$","4.2"
"El Paso","Big Tex Grill of El Paso #145","Tex-Mex","$$","4.0"
"Arlington","Blue Bonnet Kitchen of Arlington #146","Steakhouse","$$$","3.5"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #147","Seafood","$$$$","3.7"
"Plano","Alamo Smokehouse of Plano #148","Southern","$","4.0"
"Laredo","Pecos Table of Laredo #149","Bistro","$$","3.5"
"Lubbock","Lone Star Pit of Lubbock #150","BBQ","$$$","3.6"
"Garland","Big Tex Grill of Garland #151","Tex-Mex","$$$$","4.7"
"Irving","Blue Bonnet Kitchen of Irving #152","Steakhouse","$","4.5"
"Amarillo","Yellow Rose Taqueria of Amarillo #153","Seafood","$$","4.2"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #154","Southern","$$$","4.6"
"Brownsville","Pecos Table of Brownsville #155","Bistro","$$$$","4.7"
"McKinney","Lone Star Pit of McKinney #156","BBQ","$","4.9"
"Frisco","Big Tex Grill of Frisco #157","Tex-Mex","$$","4.2"
"Pasadena","Blue Bonnet Kitchen of Pasadena #158","Steakhouse","$$$","4.9"
"Mesquite","Yellow Rose Taqueria of Mesquite #159","Seafood","$$$$","4.6"
"Austin","Alamo Smokehouse of Austin #160","Southern","$","3.8"
"Houston","Pecos Table of Houston #161","Bistro","$$","5.0"
"Dallas","Lone Star Pit of Dallas #162","BBQ","$$$","3.6"
"San Antonio","Big Tex Grill of San Antonio #163","Tex-Mex","$$$$","4.7"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #164","Steakhouse","$","4.9"
"El Paso","Yellow Rose Taqueria of El Paso #165","Seafood","$$","4.6"
"Arlington","Alamo Smokehouse of Arlington #166","Southern","$$$","4.1"
"Corpus Christi","Pecos Table of Corpus Christi #167","Bistro","$$$$","4.4"
"Plano","Lone Star Pit of Plano #168","BBQ","$","3.8"
"Laredo","Big Tex Grill of Laredo #169","Tex-Mex","$$","3.8"
"Lubbock","Blue Bonnet Kitchen of Lubbock #170","Steakhouse","$$$","4.7"
"Garland","Yellow Rose Taqueria of Garland #171","Seafood","$$$$","4.3"
"Irving","Alamo Smokehouse of Irving #172","Southern","$","4.5"
"Amarillo","Pecos Table of Amarillo #173","Bistro","$$","4.8"
"Grand Prairie","Lone Star Pit of Grand Prairie #174","BBQ","$$$","4.5"
"Brownsville","Big Tex Grill of Brownsville #175","Tex-Mex","$$$$","4.3"
"McKinney","Blue Bonnet Kitchen of McKinney #176","Steakhouse","$","4.3"
"Frisco","Yellow Rose Taqueria of Frisco #177","Seafood","$$","5.0"
"Pasadena","Alamo Smokehouse of Pasadena #178","Southern","$$$","4.8"
"Mesquite","Pecos Table of Mesquite #179","Bistro","$$$$","3.9"
"Austin","Lone Star Pit of Austin #180","BBQ","$","4.9"
"Houston","Big Tex Grill of Houston #181","Tex-Mex","$$","4.8"
"Dallas","Blue Bonnet Kitchen of Dallas #182","Steakhouse","$$$","4.0"
"San Antonio","Yellow Rose Taqueria of San Antonio #183","Seafood","$$$$","3.7"
"Fort Worth","Alamo Smokehouse of Fort Worth #184","Southern","$","4.3"
"El Paso","Pecos Table of El Paso #185","Bistro","$$","3.9"
"Arlington","Lone Star Pit of Arlington #186","BBQ","$$$","3.8"
"Corpus Christi","Big Tex Grill of Corpus Christi #187","Tex-Mex","$$$$","4.1"
"Plano","Blue Bonnet Kitchen of Plano #188","Steakhouse","$","5.0"
"Laredo","Yellow Rose Taqueria of Laredo #189","Seafood","$$","4.3"
"Lubbock","Alamo Smokehouse of Lubbock #190","Southern","$$$","4.2"
"Garland","Pecos Table of Garland #191","Bistro","$$$$","3.6"
"Irving","Lone Star Pit of Irving #192","BBQ","$","4.2"
"Amarillo","Big Tex Grill of Amarillo #193","Tex-Mex","$$","3.6"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #194","Steakhouse","$$$","4.7"
"Brownsville","Yellow Rose Taqueria of Brownsville #195","Seafood","$$$$","4.8"
"McKinney","Alamo Smokehouse of McKinney #196","Southern","$","4.0"
"Frisco","Pecos Table of Frisco #197","Bistro","$$","3.9"
"Pasadena","Lone Star Pit of Pasadena #198","BBQ","$$$","4.2"
"Mesquite","Big Tex Grill of Mesquite #199","Tex-Mex","$$$$","4.2"
"Austin","Blue Bonnet Kitchen of Austin #200","Steakhouse","$","4.9"
"Houston","Yellow Rose Taqueria of Houston #201","Seafood","$$","3.5"
"Dallas","Alamo Smokehouse of Dallas #202","Southern","$$$","4.9"
"San Antonio","Pecos Table of San Antonio #203","Bistro","$$$$","4.1"
"Fort Worth","Lone Star Pit of Fort Worth #204","BBQ","$","4.6"
"El Paso","Big Tex Grill of El Paso #205","Tex-Mex","$$","4.7"
"Arlington","Blue Bonnet Kitchen of Arlington #206","Steakhouse","$$$","4.1"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #207","Seafood","$$$$","4.9"
"Plano","Alamo Smokehouse of Plano #208","Southern","$","3.5"
"Laredo","Pecos Table of Laredo #209","Bistro","$$","4.1"
"Lubbock","Lone Star Pit of Lubbock #210","BBQ","$$$","4.2"
"Garland","Big Tex Grill of Garland #211","Tex-Mex","$$$$","4.5"
"Irving","Blue Bonnet Kitchen of Irving #212","Steakhouse","$","5.0"
"Amarillo","Yellow Rose Taqueria of Amarillo #213","Seafood","$$","4.0"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #214","Southern","$$$","3.8"
"Brownsville","Pecos Table of Brownsville #215","Bistro","$$$$","4.3"
"McKinney","Lone Star Pit of McKinney #216","BBQ","$","4.7"
"Frisco","Big Tex Grill of Frisco #217","Tex-Mex","$$","5.0"
"Pasadena","Blue Bonnet Kitchen of Pasadena #218","Steakhouse","$$$","3.9"
"Mesquite","Yellow Rose Taqueria of Mesquite #219","Seafood","$$$$","4.1"
"Austin","Alamo Smokehouse of Austin #220","Southern","$","4.0"
"Houston","Pecos Table of Houston #221","Bistro","$$","4.5"
"Dallas","Lone Star Pit of Dallas #222","BBQ","$$$","3.7"
"San Antonio","Big Tex Grill of San Antonio #223","Tex-Mex","$$$$","4.7"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #224","Steakhouse","$","3.9"
"El Paso","Yellow Rose Taqueria of El Paso #225","Seafood","$$","4.6"
"Arlington","Alamo Smokehouse of Arlington #226","Southern","$$$","4.7"
"Corpus Christi","Pecos Table of Corpus Christi #227","Bistro","$$$$","3.5"
"Plano","Lone Star Pit of Plano #228","BBQ","$","4.9"
"Laredo","Big Tex Grill of Laredo #229","Tex-Mex","$$","4.6"
"Lubbock","Blue Bonnet Kitchen of Lubbock #230","Steakhouse","$$$","4.0"
"Garland","Yellow Rose Taqueria of Garland #231","Seafood","$$$$","3.7"
"Irving","Alamo Smokehouse of Irving #232","Southern","$","4.7"
"Amarillo","Pecos Table of Amarillo #233","Bistro","$$","4.2"
"Grand Prairie","Lone Star Pit of Grand Prairie #234","BBQ","$$$","3.7"
"Brownsville","Big Tex Grill of Brownsville #235","Tex-Mex","$$$$","4.9"
"McKinney","Blue Bonnet Kitchen of McKinney #236","Steakhouse","$","4.0"
"Frisco","Yellow Rose Taqueria of Frisco #237","Seafood","$$","4.8"
"Pasadena","Alamo Smokehouse of Pasadena #238","Southern","$$$","3.7"
"Mesquite","Pecos Table of Mesquite #239","Bistro","$$$$","4.0"
"Austin","Lone Star Pit of Austin #240","BBQ","$","4.2"
"Houston","Big Tex Grill of Houston #241","Tex-Mex","$$","4.1"
"Dallas","Blue Bonnet Kitchen of Dallas #242","Steakhouse","$$$","3.7"
"San Antonio","Yellow Rose Taqueria of San Antonio #243","Seafood","$$$$","4.0"
"Fort Worth","Alamo Smokehouse of Fort Worth #244","Southern","$","4.7"
"El Paso","Pecos Table of El Paso #245","Bistro","$$","3.9"
"Arlington","Lone Star Pit of Arlington #246","BBQ","$$$","4.0"
"Corpus Christi","Big Tex Grill of Corpus Christi #247","Tex-Mex","$$$$","4.4"
"Plano","Blue Bonnet Kitchen of Plano #248","Steakhouse","$","4.8"
"Laredo","Yellow Rose Taqueria of Laredo #249","Seafood","$$","4.7"
"Lubbock","Alamo Smokehouse of Lubbock #250","Southern","$$$","4.0"
"Garland","Pecos Table of Garland #251","Bistro","$$$$","3.6"
"Irving","Lone Star Pit of Irving #252","BBQ","$","3.9"
"Amarillo","Big Tex Grill of Amarillo #253","Tex-Mex","$$","4.0"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #254","Steakhouse","$$$","5.0"
"Brownsville","Yellow Rose Taqueria of Brownsville #255","Seafood","$$$$","4.1"
"McKinney","Alamo Smokehouse of McKinney #256","Southern","$","3.7"
"Frisco","Pecos Table of Frisco #257","Bistro","$$","4.7"
"Pasadena","Lone Star Pit of Pasadena #258","BBQ","$$$","5.0"
"Mesquite","Big Tex Grill of Mesquite #259","Tex-Mex","$$$$","4.6"
"Austin","Blue Bonnet Kitchen of Austin #260","Steakhouse","$","4.9"
"Houston","Yellow Rose Taqueria of Houston #261","Seafood","$$","4.0"
"Dallas","Alamo Smokehouse of Dallas #262","Southern","$$$","4.9"
"San Antonio","Pecos Table of San Antonio #263","Bistro","$$$$","4.0"
"Fort Worth","Lone Star Pit of Fort Worth #264","BBQ","$","3.7"
"El Paso","Big Tex Grill of El Paso #265","Tex-Mex","$$","4.7"
"Arlington","Blue Bonnet Kitchen of Arlington #266","Steakhouse","$$$","3.7"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #267","Seafood","$$$$","4.3"
"Plano","Alamo Smokehouse of Plano #268","Southern","$","4.4"
"Laredo","Pecos Table of Laredo #269","Bistro","$$","4.6"
"Lubbock","Lone Star Pit of Lubbock #270","BBQ","$$$","4.5"
"Garland","Big Tex Grill of Garland #271","Tex-Mex","$$$$","3.9"
"Irving","Blue Bonnet Kitchen of Irving #272","Steakhouse","$","4.0"
"Amarillo","Yellow Rose Taqueria of Amarillo #273","Seafood","$$","3.6"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #274","Southern","$$$","3.9"
"Brownsville","Pecos Table of Brownsville #275","Bistro","$$$$","4.6"
"McKinney","Lone Star Pit of McKinney #276","BBQ","$","4.8"
"Frisco","Big Tex Grill of Frisco #277","Tex-Mex","$$","4.6"
"Pasadena","Blue Bonnet Kitchen of Pasadena #278","Steakhouse","$$$","4.1"
"Mesquite","Yellow Rose Taqueria of Mesquite #279","Seafood","$$$$","4.5"
"Austin","Alamo Smokehouse of Austin #280","Southern","$","4.2"
"Houston","Pecos Table of Houston #281","Bistro","$$","4.9"
"Dallas","Lone Star Pit of Dallas #282","BBQ","$$$","4.4"
"San Antonio","Big Tex Grill of San Antonio #283","Tex-Mex","$$$$","4.1"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #284","Steakhouse","$","5.0"
"El Paso","Yellow Rose Taqueria of El Paso #285","Seafood","$$","3.6"
"Arlington","Alamo Smokehouse of Arlington #286","Southern","$$$","5.0"
"Corpus Christi","Pecos Table of Corpus Christi #287","Bistro","$$$$","4.1"
"Plano","Lone Star Pit of Plano #288","BBQ","$","4.1"
"Laredo","Big Tex Grill of Laredo #289","Tex-Mex","$$","4.7"
"Lubbock","Blue Bonnet Kitchen of Lubbock #290","Steakhouse","$$$","3.8"
"Garland","Yellow Rose Taqueria of Garland #291","Seafood","$$$$","4.8"
"Irving","Alamo Smokehouse of Irving #292","Southern","$","3.6"
"Amarillo","Pecos Table of Amarillo #293","Bistro","$$","4.2"
"Grand Prairie","Lone Star Pit of Grand Prairie #294","BBQ","$$$","4.0"
"Brownsville","Big Tex Grill of Brownsville #295","Tex-Mex","$$$$","4.1"
"McKinney","Blue Bonnet Kitchen of McKinney #296","Steakhouse","$","3.9"
"Frisco","Yellow Rose Taqueria of Frisco #297","Seafood","$$","4.7"
"Pasadena","Alamo Smokehouse of Pasadena #298","Southern","$$$","4.9"
"Mesquite","Pecos Table of Mesquite #299","Bistro","$$$$","4.5"
"Austin","Lone Star Pit of Austin #300","BBQ","$","3.7"
"Houston","Big Tex Grill of Houston #301","Tex-Mex","$$","4.5"
"Dallas","Blue Bonnet Kitchen of Dallas #302","Steakhouse","$$$","3.9"
"San Antonio","Yellow Rose Taqueria of San Antonio #303","Seafood","$$$$","4.3"
"Fort Worth","Alamo Smokehouse of Fort Worth #304","Southern","$","3.9"
"El Paso","Pecos Table of El Paso #305","Bistro","$$","4.1"
"Arlington","Lone Star Pit of Arlington #306","BBQ","$$$","3.6"
"Corpus Christi","Big Tex Grill of Corpus Christi #307","Tex-Mex","$$$$","4.9"
"Plano","Blue Bonnet Kitchen of Plano #308","Steakhouse","$","4.4"
"Laredo","Yellow Rose Taqueria of Laredo #309","Seafood","$$","4.6"
"Lubbock","Alamo Smokehouse of Lubbock #310","Southern","$$$","4.8"
"Garland","Pecos Table of Garland #311","Bistro","$$$$","4.4"
"Irving","Lone Star Pit of Irving #312","BBQ","$","3.7"
"Amarillo","Big Tex Grill of Amarillo #313","Tex-Mex","$$","4.1"
"Grand Prairie","Blue Bonnet Kitchen of Grand Prairie #314","Steakhouse","$$$","4.1"
"Brownsville","Yellow Rose Taqueria of Brownsville #315","Seafood","$$$$","4.4"
"McKinney","Alamo Smokehouse of McKinney #316","Southern","$","4.0"
"Frisco","Pecos Table of Frisco #317","Bistro","$$","3.9"
"Pasadena","Lone Star Pit of Pasadena #318","BBQ","$$$","4.1"
"Mesquite","Big Tex Grill of Mesquite #319","Tex-Mex","$$$$","4.8"
"Austin","Blue Bonnet Kitchen of Austin #320","Steakhouse","$","4.5"
"Houston","Yellow Rose Taqueria of Houston #321","Seafood","$$","5.0"
"Dallas","Alamo Smokehouse of Dallas #322","Southern","$$$","4.3"
"San Antonio","Pecos Table of San Antonio #323","Bistro","$$$$","3.9"
"Fort Worth","Lone Star Pit of Fort Worth #324","BBQ","$","4.9"
"El Paso","Big Tex Grill of El Paso #325","Tex-Mex","$$","3.6"
"Arlington","Blue Bonnet Kitchen of Arlington #326","Steakhouse","$$$","4.0"
"Corpus Christi","Yellow Rose Taqueria of Corpus Christi #327","Seafood","$$$$","3.9"
"Plano","Alamo Smokehouse of Plano #328","Southern","$","3.9"
"Laredo","Pecos Table of Laredo #329","Bistro","$$","5.0"
"Lubbock","Lone Star Pit of Lubbock #330","BBQ","$$$","4.1"
"Garland","Big Tex Grill of Garland #331","Tex-Mex","$$$$","3.7"
"Irving","Blue Bonnet Kitchen of Irving #332","Steakhouse","$","4.3"
"Amarillo","Yellow Rose Taqueria of Amarillo #333","Seafood","$$","5.0"
"Grand Prairie","Alamo Smokehouse of Grand Prairie #334","Southern","$$$","4.1"
"Brownsville","Pecos Table of Brownsville #335","Bistro","$$$$","3.5"
"McKinney","Lone Star Pit of McKinney #336","BBQ","$","4.4"
"Frisco","Big Tex Grill of Frisco #337","Tex-Mex","$$","3.6"
"Pasadena","Blue Bonnet Kitchen of Pasadena #338","Steakhouse","$$$","4.2"
"Mesquite","Yellow Rose Taqueria of Mesquite #339","Seafood","$$$$","3.6"
"Austin","Alamo Smokehouse of Austin #340","Southern","$","3.5"
"Houston","Pecos Table of Houston #341","Bistro","$$","4.1"
"Dallas","Lone Star Pit of Dallas #342","BBQ","$$$","3.7"
"San Antonio","Big Tex Grill of San Antonio #343","Tex-Mex","$$$$","4.4"
"Fort Worth","Blue Bonnet Kitchen of Fort Worth #344","Steakhouse","$","4.9"
"El Paso","Yellow Rose Taqueria of El Paso #345","Seafood","$$","3.5"
"Arlington","Alamo Smokehouse of Arlington #346","Southern","$$$","4.5"
"Corpus Christi","Pecos Table of Corpus Christi #347","Bistro","$$$$","4.9"
"Plano","Lone Star Pit of Plano #348","BBQ","$","3.7"
"Laredo","Big Tex Grill of Laredo #349","Tex-Mex","$$","4.7"
"Lubbock","Blue Bonnet Kitchen of Lubbock #350","Steakhouse","$$$","4.3"
"Garland","Yellow Rose Taqueria of Garland #351","Seafood","$$$$","3.6"
"Irving","Alamo Smokehouse of Irving #352","Southern","$","4.4"
"Amarillo","Pecos Table of Amarillo #353","Bistro","$$","4.9"
"Grand Prairie","Lone Star Pit of Grand Prairie #354","BBQ","$$$","4.2"
"Brownsville","Big Tex Grill of Brownsville #355","Tex-Mex","$$$$","4.9"
"McKinney","Blue Bonnet Kitchen of McKinney #356","Steakhouse","$","4.0"
"Frisco","Yellow Rose Taqueria of Frisco #357","Seafood","$$","5.0"
"Pasadena","Alamo Smokehouse of Pasadena #358","Southern","$$$","4.6"
"Mesquite","Pecos Table of Mesquite #359","Bistro","$$$$","4.7"
"Austin","Lone Star Pit of Austin #360","BBQ","$","4.6"
"Houston","Big Tex Grill of Houston #361","Tex-Mex","$$","4.6"
"Dallas","Blue Bonnet Kitchen of Dallas #362","Steakhouse","$$$","3.7"
